,IoCType,InfoSource,IoCCategory,IoCValue
0,Domain,F-ISAC,C2C,www.citywidemci.com
1,Domain,F-ISAC,C2C,knight-quest.com
2,Domain,F-ISAC,C2C,soft.update.cloudns.info
3,Domain,F-ISAC,C2C,wifi.hopto.org
4,Domain,F-ISAC,C2C,helpdesk.blackcmd.com
5,Domain,F-ISAC,C2C,avast.avstore.com.tw
6,Domain,F-ISAC,C2C,www.moea.onmypc.org
7,Domain,F-ISAC,C2C,www.moeaidb.ocry.com
8,Domain,F-ISAC,C2C,ey.avstore.com.tw
9,Domain,F-ISAC,C2C,sophos.skypetm.com.tw
10,Domain,F-ISAC,C2C,eventlog.findhere.org
11,Domain,F-ISAC,C2C,www.ey.jetos.com
12,Domain,F-ISAC,C2C,microsfot.ikwb.com
13,Domain,F-ISAC,C2C,icst.ygto.com
14,Domain,F-ISAC,C2C,wckdpp.1apps.com
15,Domain,F-ISAC,C2C,vigoole.gnway.net
16,Domain,F-ISAC,C2C,yspark.justdied.com
17,Domain,F-ISAC,C2C,moresils.deaftone.com
18,Domain,F-ISAC,C2C,moea.esy.es
19,Domain,F-ISAC,C2C,wildpanda.chickenkiller.com
20,Domain,F-ISAC,C2C,bamboojungle.ddns.net
21,Domain,F-ISAC,C2C,linenews.mypicture.info
22,Domain,F-ISAC,C2C,amazon.panasocin.com
23,Domain,F-ISAC,C2C,faq.narllab.com
24,Domain,F-ISAC,C2C,topc.skypetw.com
25,Domain,F-ISAC,C2C,www.googledrivercould.serveuser.com
26,Domain,F-ISAC,C2C,global.smart-house.ga
27,Domain,F-ISAC,C2C,www.accountinfo.ssl443.org
28,Domain,F-ISAC,C2C,www.account_mentgooggl.serveuser.com
29,Domain,F-ISAC,C2C,wikei.hpc.tw
30,Domain,F-ISAC,C2C,update.system.connection.gq
31,Domain,F-ISAC,C2C,loggon.yahoomails.ga
32,Domain,F-ISAC,C2C,webmail.111.org.tw.macmail.otzo.com
33,Domain,F-ISAC,C2C,okinawas.ssl443.org
34,Domain,F-ISAC,C2C,asushotfix.com
35,Domain,F-ISAC,C2C,microsoft.com.appstore.dynamicdns.co.uk
36,Domain,F-ISAC,C2C,ap125.eynyforum.com
