,IoCType,InfoSource,IoCCategory,IoCValue
0,IP,F-ISAC,Malware,91.218.114.26
1,IP,F-ISAC,Malware,146.56.216.220
2,IP,F-ISAC,Malware,103.13.222.143
3,IP,F-ISAC,Malware,3.237.41.66
4,IP,F-ISAC,Malware,49.232.161.221
5,IP,F-ISAC,Malware,96.43.83.164
6,IP,F-ISAC,Malware,42.192.209.105
7,IP,F-ISAC,Malware,23.224.70.226
8,IP,F-ISAC,Malware,107.174.254.190
9,IP,F-ISAC,Malware,106.54.69.144
10,IP,F-ISAC,Malware,42.193.181.167
11,IP,F-ISAC,Malware,121.4.154.238
12,IP,F-ISAC,Malware,192.3.128.243
13,IP,F-ISAC,Malware,39.104.28.100
14,IP,F-ISAC,Malware,157.230.243.171
15,IP,F-ISAC,Malware,49.235.68.234
16,IP,F-ISAC,Malware,223.252.173.162
17,IP,F-ISAC,Malware,42.193.127.142
18,IP,F-ISAC,Malware,59.110.222.131
19,IP,F-ISAC,Malware,45.15.19.114
20,IP,F-ISAC,Malware,106.52.95.229
21,IP,F-ISAC,Malware,40.71.21.207
22,IP,F-ISAC,Malware,101.43.109.165
23,IP,F-ISAC,Malware,46.3.243.5
24,IP,F-ISAC,Malware,81.69.14.179
25,IP,F-ISAC,Malware,18.135.46.68
26,IP,F-ISAC,Malware,59.110.238.182
27,IP,F-ISAC,Malware,142.93.254.7
28,IP,F-ISAC,Malware,20.120.35.41
29,IP,F-ISAC,Malware,23.227.193.79
30,IP,F-ISAC,Malware,23.227.193.79
31,IP,F-ISAC,Malware,120.25.127.16
32,IP,F-ISAC,Malware,121.37.200.66
33,IP,F-ISAC,Malware,81.69.224.130
34,IP,F-ISAC,Malware,185.70.104.86
35,IP,F-ISAC,Malware,209.141.44.191
36,IP,F-ISAC,Malware,1.116.180.87
37,IP,F-ISAC,Malware,81.68.65.153
38,IP,F-ISAC,Malware,180.178.38.170
39,IP,F-ISAC,Malware,45.95.235.40
40,IP,F-ISAC,Malware,101.34.142.142
41,IP,F-ISAC,Malware,121.5.26.35
42,IP,F-ISAC,Malware,42.193.251.241
43,IP,F-ISAC,Malware,101.34.253.147
44,IP,F-ISAC,Malware,45.9.20.35
45,IP,F-ISAC,Malware,49.232.1.225
46,IP,F-ISAC,Malware,101.34.95.204
47,IP,F-ISAC,Malware,101.43.149.199
48,IP,F-ISAC,Malware,101.43.108.28
49,IP,F-ISAC,Malware,107.172.195.6
50,IP,F-ISAC,Malware,118.24.142.28
51,IP,F-ISAC,Malware,104.168.44.156
52,IP,F-ISAC,Malware,104.168.44.156
53,IP,F-ISAC,Malware,47.107.152.193
54,IP,F-ISAC,Malware,81.69.99.79
55,IP,F-ISAC,Malware,81.69.99.79
56,IP,F-ISAC,Malware,193.201.9.197
57,IP,F-ISAC,Malware,120.77.99.53
58,IP,F-ISAC,Malware,120.79.165.94
59,IP,F-ISAC,Malware,120.79.165.94
60,IP,F-ISAC,Malware,42.192.54.106
61,IP,F-ISAC,Malware,120.25.154.159
